三三医社（深圳）医疗投资有限公司	91440300MA5ELE8P7F
中科卫士信息安全（深圳）有限公司	91440300MA5F3YMF11
信达项目管理（深圳）有限公司	91440300MA5FC8BQXY
北京嘉利智联营销管理股份有限公司深圳分公司	91440300MA5D9FMH7J
北京银行股份有限公司深圳科技生态园小微支行	91440300MA5GCD036A
北影（深圳）艺术传播发展有限公司	91440300MA5EXKM11R
北影（深圳）青少年艺术教育有限公司	91440300MA5EXUAN2X
博石科技（深圳）有限公司	91440300MA5F5KXT9J
大成国际新产业控股（深圳）有限公司	91440300MA5EQRKW35
平洋投资控股（深圳）有限公司	91440300MA5EEMQL2U
广东创新数字经济孵化研究院	52440000322210481H
广东华夏影视文化交易中心有限公司	91441900MA4W2G8843
广东鸿特信息咨询有限公司南山分公司	91440300MA5F7DKM0W
投客会（深圳）投资管理有限公司	9144030035972462XY
招商证券股份有限公司深圳湾科技生态园证券营业部	91440300MA5FBT0Q14
新拓云（北京）科技有限公司深圳分公司	91440300MA5GQRW42H
无间连整合营销（深圳）有限公司	91440300MA5EXPYM3L
深圳中泰智汇控股科技有限公司	91440300MA5ET7K70K
深圳中科控股实业有限公司	91440300MA5ET3048G
深圳刷爆网络科技有限公司	91440300MA5F3GJP5F
深圳千将资本私募创业投资有限公司	914403003500429563
深圳合银丰盈实业发展合伙企业（有限合伙）	91440300MA5EHWB25J
深圳合银创盈实业发展合伙企业（有限合伙）	91440300MA5EHWT89A
深圳合银实业发展合伙企业（有限合伙）	91440300MA5EH8716D
深圳君义资本管理有限公司	91440300069271642H
深圳塔菲石投资咨询合伙企业（有限合伙）	91440300MA5FALXH0B
深圳大尚网络技术有限公司	91440300676659163J
深圳天河健康管理有限公司	91440300MA5EHYDY59
深圳奇正二期投资企业（有限合伙）	91440300MA5EXTQN13
深圳守义控股企业（有限合伙）	91440300MA5G1DC59L
深圳宏壬易午科技有限公司	91440300MA5F98GF5G
深圳小叮当电子商务有限责任公司	91440300MA5EWJNR2C
深圳市万联亿通科技有限公司	9144030079921536XA
深圳市三瓣嘴网络科技有限公司	91440300MA5EJ2NUX1
深圳市世展建设有限公司	914403007084520100
深圳市东方汇餐饮服务有限公司深圳湾生态科技园店	91440300MAEGKU7J8T
深圳市中大远建股权投资基金合伙企业（有限合伙）	91440300064977881C
深圳市中瑞隆电子商务有限公司	91440300079812174Q
深圳市中科粤丰科技有限公司	91440300MA5F4D672K
深圳市中芯车智能科技有限公司	91440300MA5F89LE6Q
深圳市优宜嘉餐饮有限公司深圳湾科技生态园一店	91440300MA5G32T90C
深圳市俊元生物科技有限公司	91440300MA5D87QKX8
深圳市健业企梦孵化器管理有限公司	91440300MA5EL5031R
深圳市健康管理研究会	5144030030615095X5
深圳市创云谷科技有限公司	91440300MA5FAJ2U4A
深圳市创赛种子基金投资管理有限公司	91440300359866695U
深圳市北航旭飞科技有限公司	91440300305850348Q
深圳市华岸规划设计有限公司	91440300595699972F
深圳市华智产业园运营有限公司	91440300MA5DK2R04X
深圳市华柱科技有限公司	91440300MA5DQ6LF2E
深圳市卓兴光科技有限公司	91440300MA5FB0CL8X
深圳市卓页互动网络科技有限公司	914403007979711887
深圳市南山区乐龄研究中心	52440305359496444E
深圳市南山区夕阳红老年大学	52440305MJL1726278
深圳市南山区高新南维育礼雅幼儿园	52440305MJL2005449
深圳市合盈实业发展有限公司	91440300MA5EGL2G7J
深圳市同为数码科技股份有限公司	91440300770326146B
深圳市启蒙易教育科技有限公司	91440300MADJTP3970
深圳市奇威营销顾问有限公司	91440300319334803W
深圳市子午营销策划有限公司	91440300053985966G
深圳市安慧数字智能科技有限公司	91440300075848129W
深圳市实景科技有限公司	91440300MA5D9FXJ3L
深圳市实维控股科技发展有限公司	91440300MA5DF6HN2Y
深圳市尚尚餐饮管理有限公司生态园店	91440300MA5F35EY7N
深圳市微心科技有限公司	91440300MA5F8J3H33
深圳市微护投资合伙企业（有限合伙）	91440300MA5FDEY488
深圳市微护科技有限公司	91440300MA5F47Q81C
深圳市德骏科技合伙企业（有限合伙）	91440300MA5DP8DN74
深圳市恒诚网络通讯技术有限公司	91440300MA5F7UE17N
深圳市拉飞嘉禾科技有限公司	91440300MA5F6UR144
深圳市振业（集团）股份有限公司工会联合会委员会	81440300MCK9970905
深圳市携英科技有限公司	91440300MA5EU22945
深圳市易图诚泰数据服务有限公司	91440300MA5F1P0899
深圳市智能控制技术与应用协会	51440300326358942K
深圳市智诚信达财富管理有限公司	91440300595693722K
深圳市朗奥洁净科技股份有限公司	91440300306066555G
深圳市朝气蓬勃实业有限公司	91440300MA5F1HLH49
深圳市木槿科技有限公司	91440300MA5EE36K5U
深圳市未来交互信息技术有限公司	91440300MA5EQT7B4R
深圳市森合微科技有限公司	91440300MA5HGQA2XA
深圳市植慧植物干细胞研究院	52440300MJL186244N
深圳市汇联资管十六号投资管理合伙企业（有限合伙）	914403003194272681
深圳市泰田投资管理有限公司	91440300359964148P
深圳市焱森巴巴科技有限公司	914403003196640280
深圳市版权协会	51440300793877856R
深圳市百森投资合伙企业（有限合伙）	91440300MA5G3UQ39B
深圳市益汇友商贸有限公司	91440300MA5F5T2Y7R
深圳市盛汇永泰供应链有限公司	91440300779872696B
深圳市看见成长投资合伙企业（有限合伙）	914403003596993059
深圳市码玩教育科技有限公司	91440300MA5FAAW64E
深圳市硕宝实业有限公司深圳湾科技生态园店	91440300MA5F44ED8Q
深圳市竹林贤信息咨询合伙企业（有限合伙）	91440300MA5EU5Y53J
深圳市简悦餐饮管理有限公司	91440300MA5EYBK283
深圳市美仕迦科技有限公司	91440300MA5F8FG81P
深圳市莞汇六号投资咨询合伙企业（有限合伙）	91440300MA5F852R0E
深圳市融宇科技合伙企业（有限合伙）	91440300MA5F8JE98Q
深圳市行正服务有限公司	91440300MA5FJ4JN3M
深圳市趣远科技控股有限公司	91440300MA5ECPEE68
深圳市银澎投资控股（集团）有限公司	9144030006926539XE
深圳市链森科技发展有限公司	91440300MA5EXEPR7C
深圳市青谷投资有限公司	91440300682015444J
深圳市高搜易信息技术有限公司	9144030008385633X6
深圳幺勺文化传播有限公司深圳湾分公司	91440300MA5FB8ML3B
深圳康年制造科技有限公司	91440300MA5FALHY8D
深圳弘富汇金五号股权投资合伙企业（有限合伙）	91440300594346884N
深圳弘富汇金六号股权投资合伙企业（有限合伙）	91440300594300763H
深圳微锋鑫创科技有限公司	91440300MA5FBDTP42
深圳徳康业生物科技有限公司	91440300MA5F4XG38E
深圳悦康祥和科技有限公司	91440300MA5F5K79X2
深圳新皓信息咨询合伙企业（有限合伙）	91440300MA5FC1WQ4F
深圳柒檍策划管理有限公司	91440300MA5EH98H6T
深圳模德宝科技有限公司	914403005967754129
深圳欧伦思科技有限公司	9144030055541395XA
深圳欧瑞特供应链管理有限公司	914403006785563368
深圳汇金信利股权投资合伙企业（有限合伙）	914403005918671071
深圳汇金普瑞股权投资合伙企业（有限合伙）	91440300591859828L
深圳汇金瑞兆股权投资合伙企业（有限合伙）	914403000679521109
深圳汇金益瑞股权投资合伙企业（有限合伙）	91440300067979890B
深圳汇金黄河股权投资合伙企业（有限合伙）	9144030058408522XR
深圳海知知识图谱科技有限公司	91440300MA5F5805XN
深圳湾双创科技服务有限公司	91440300MA5DRLRT10
深圳湾泛科技农业有限公司	91440300MA5F3LFRXP
深圳烛照餐饮管理有限公司生态科技园分店	91440300MA5FBPB67W
深圳盈嘉网络科技有限公司	91440300MA5F29RW9E
深圳盈科汇通科技有限公司	91440300MA5DT1EY6K
深圳艾优得信息科技合伙企业（有限合伙）	91440300MA5FC8XA9Q
深圳花果山科技有限公司	914403000671930118
深圳蓝宇科技创新有限公司	91440300MA5F1HU53H
深圳蓝色星空区块链智能科技发展有限公司	91440300MA5F575R9J
深圳金牛信息服务有限公司	91440300MA5ET7KB31
湾晟产业运营管理（深圳）有限公司	91440300MACRRQ1J3W
